trackName,artistName,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
A Different Way (with Lauv),DJ Snake,Electronic/Dance Music,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996,1YMBg7rOjxzbya0fPOYfNX,198286,4
A Drug From God,Chris Lake,Electronic/Dance Music,0.714,0.883,9,-4.43,1,0.0625,0.00819,0.843,0.231,0.819,126.016,4skbQNtyjy8A7mo8oqe2oD,192455,4
A Little Piece of Heaven,Avenged Sevenfold,Rock,0.486,0.881,2,-5.623,0,0.0474,0.0244,0.0,0.429,0.667,144.997,1BLfQ6dPXmuDrFmbdfW7Jl,480707,4
A Night to Remember,High School Musical Cast,Pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,3RuXekS5criwismaaj87iF,236400,4
A Night to Remember - Original Version,High School Musical Cast,Pop,0.798,0.904,0,-3.316,0,0.0476,0.0747,6.62e-06,0.0522,0.966,135.008,2BHu6HOFXgHR936cj10XIi,236400,4
A Soulmate Who Wasn’t Meant to Be,Jess Benko,Country,0.571,0.0274,9,-20.274,0,0.0649,0.948,6.43e-06,0.322,0.087,124.209,0gOz9JUXsaKVzLTSmFDtdo,316556,3
A wild river to take you home,Black Hill,Rock,0.458,0.361,6,-12.066,0,0.0353,0.825,0.913,0.103,0.231,86.966,0UFkbnxj34vZVgwwEDy29e,229536,4
A+E (feat. Kandaka Moore & Nikki Cislyn),Clean Bandit,Pop,0.808,0.519,5,-8.268,0,0.0403,0.00623,0.136,0.119,0.384,114.977,1Qi6CGoqTG1UvFcuRzKRNL,246584,4
A-Punk,Vampire Weekend,Pop,0.551,0.819,2,-4.489,1,0.0525,0.0103,0.0437,0.153,0.846,174.917,3AydAydLzyyZutA0375XIz,137760,4
AGEN WIDA,JOYRYDE,Electronic/Dance Music,0.784,0.913,1,-1.208,1,0.177,0.0114,0.00162,0.0831,0.59,126.054,35V6qXUDCvwZdmbKe5PlPG,199048,4
